new_name,type
idnum,ID Number
cf1intmon,uc
cf1intyr,cont
cf1lenhr,cont
cf1lenmin,cont
cf1twoc,bin
cf1fint,bin
cf1natsm,bin
f1natwt,cont
cf1natsmx,bin
f1natwtx,cont
cf1citsm,bin
f1citywt,cont
f1a2,bin
f1a3,bin
f1a4,bin
f1a4a,bin
f1a5,bin
f1a5a,bin
f1a6,bin
f1a6a,cont
f1a7,uc
cf1age,cont
f1b1a,cont
f1b1b,cont
f1b2,bin
f1b3,oc
f1b4a,bin
f1b4b,bin
f1b4c,bin
f1b4d,bin
f1b4e,bin
f1b4f,bin
f1b4g,uc
f1b5a,bin
f1b5b,bin
f1b5c,bin
f1b5d,bin
f1b6a,oc
f1b6b,oc
f1b6c,oc
f1b6d,oc
f1b6e,oc
f1b6f,oc
f1b7a,oc
f1b7b,oc
f1b7c,oc
f1b7d,oc
f1b7e,oc
f1b8,bin
f1b9,bin
f1b9a1,bin
f1b9a2,bin
f1b9a3,bin
f1b9a4,bin
f1b9a5,bin
f1b9a6,bin
f1b9a7,bin
f1b9a8,bin
f1b9a9,bin
f1b9a10,bin
f1b9a11,uc
f1b9b1,bin
f1b9b2,bin
f1b9b3,bin
f1b9b4,bin
f1b9b5,bin
f1b9b6,bin
f1b9b7,bin
f1b9b8,bin
f1b9b9,bin
f1b9b10,bin
f1b9b11,uc
f1b10,bin
f1b10a1,bin
f1b10a2,bin
f1b10a3,bin
f1b10a4,bin
f1b10a5,bin
f1b10a6,bin
f1b10a7,bin
f1b10a8,bin
f1b10a9,bin
f1b10a10,bin
f1b10a11,uc
f1b10b1,bin
f1b10b2,bin
f1b10b3,bin
f1b10b4,bin
f1b10b5,bin
f1b10b6,bin
f1b10b7,bin
f1b10b8,bin
f1b10b9,bin
f1b10b10,bin
f1b10b11,uc
f1b11a,bin
f1b11b,bin
f1b11c,bin
f1b11d,bin
f1b12a,oc
f1b12b,oc
f1b12c,oc
f1b12d,oc
f1b12e,oc
f1b12f,oc
f1b13a,oc
f1b13b,oc
f1b13c,oc
f1b13d,oc
f1b13e,oc
f1b14,oc
f1b14a,oc
f1b15a,oc
f1b15b,oc
f1b15c,oc
f1b15d,oc
f1b15e,oc
f1b15f,oc
f1b16,bin
f1b17,bin
f1b18,bin
f1b19,bin
f1b20,bin
f1b21,bin
f1b21a,cont
f1b22a,bin
f1b22b,bin
f1b22c,bin
f1b22d,bin
f1b23a,oc
f1b23b,oc
f1b23c,oc
f1b23d,oc
f1b23e,oc
f1b23f,oc
f1b24a,oc
f1b24b,oc
f1b24c,oc
f1b24d,oc
f1b24e,oc
f1b24f,oc
f1b25a,oc
f1b25b,oc
f1b25c,oc
f1b25d,oc
f1b25e,oc
f1b26,oc
f1b27,bin
f1b28,bin
cf1marm,bin
cf1cohm,bin
f1c1a,oc
f1c1b,oc
f1c1c,oc
f1c2a,oc
f1c2b,oc
f1c2c,oc
f1c2d,oc
f1c2e,oc
f1c2f,oc
f1c3,uc
f1c3a,uc
f1c4a,bin
f1c4b,bin
f1c5a,bin
f1c5b,bin
f1c6a,bin
f1c6b,bin
f1c7,bin
f1c8,bin
f1d1a,oc
f1d1b,oc
f1d1c,oc
f1d1d,oc
f1d1e,oc
f1d1f,oc
f1d2a,oc
f1d2b,oc
f1d2c,oc
f1d2d,oc
f1d2e,oc
f1d2f,oc
f1d2g,oc
f1d3a,oc
f1d3b,oc
f1d3c,oc
f1d3d,oc
f1d3e,oc
f1d3f,oc
f1d3g,oc
f1e1b1,uc
f1e1b2,uc
f1e1b3,uc
f1e1b4,uc
f1e1b5,uc
f1e1b6,uc
f1e1b7,uc
f1e1b8,uc
f1e1c1,bin
f1e1c2,bin
f1e1c3,bin
f1e1c4,bin
f1e1c5,bin
f1e1c6,bin
f1e1c7,bin
f1e1c8,bin
f1e1d1,cont
f1e1d2,cont
f1e1d3,cont
f1e1d4,cont
f1e1d5,cont
f1e1d6,cont
f1e1d7,cont
f1e1d8,cont
f1e1e1,bin
f1e1e2,bin
f1e1e3,bin
f1e1e4,bin
f1e1e5,bin
f1e1e6,bin
f1e1e7,bin
f1e1e8,bin
f1e2,bin
f1e3,oc
f1e4,bin
f1e4a,uc
f1e5,uc
f1e6a,bin
f1e6b1,bin
f1e6b2,bin
f1e6b3,bin
f1e6b4,bin
f1e6b5,uc
f1e6c,bin
f1e6d1,bin
f1e6d2,bin
f1e6d3,bin
f1e6d4,bin
f1e6d5,uc
f1e7a,bin
f1e7b,bin
cf1adult,cont
cf1kids,cont
cf1gdad,bin
cf1gmom,bin
f1f1a,cont
f1f1b,cont
f1f1c,uc
f1f2,uc
f1f3,bin
f1f4,bin
f1f5,oc
f1f6,oc
f1f7,uc
f1f8,bin
f1f9,bin
f1f10a,cont
f1f10b,cont
f1f11a,cont
f1f11b,cont
f1f12,bin
f1f13,bin
f1f14,bin
f1f15,oc
f1g1,oc
f1g2,oc
f1g2a,bin
f1g3,oc
f1g4,oc
f1g5,bin
f1g6,bin
f1g7,bin
f1g8,bin
f1g9a,oc
f1g9b,oc
f1g9c,oc
f1g9d,oc
f1g9e,oc
f1g9f,oc
f1g9g,oc
f1g9h,oc
f1g9i,oc
f1g9j,oc
f1g9k,oc
f1g9l,oc
f1h2,bin
f1h2b,uc
f1h2c,cont
f1h3,uc
f1h3a,bin
f1h3b,uc
f1h4a,oc
f1h4b,oc
cf1edu,oc
cf1ethrace,uc
f1i1,uc
f1i2,bin
f1i2a1,cont
f1i2a2,cont
f1i3,bin
f1i3a1,cont
f1i3a2,cont
f1i4,bin
f1j1,bin
f1j2,bin
f1j3,cont
f1j3a,uc
f1j3b,uc
f1j4,cont
f1j5a,uc
f1j5b,cont
f1j5c,bin
f1j6,cont
f1j7a,bin
f1j7bc,uc
f1j8,cont
f1j8a,oc
f1j9,bin
f1j10,oc
f1j11,cont
f1j12,cont
f1j13a,bin
f1j13b,uc
f1j13c,bin
f1j13d,uc
f1j14a,cont
f1j14b,cont
f1j14c,cont
f1j14d,cont
f1j15a,cont
f1j15b,cont
f1j15c,cont
f1j15d,cont
f1j16a,oc
f1j16b,oc
f1j16c,oc
f1j16d,oc
f1k1a,bin
f1k1b,bin
f1k1c,bin
f1k1d,bin
f1k2a,oc
f1k2b,oc
f1k2c,oc
f1k2x,oc
f1k3,oc
f1k4,cont
f1k5,oc
f1k6,bin
cf1hhinc,cont
cf1hhimp,uc
cf1inpov,cont
cf1povca,oc
cf1finjail,bin
cf1tele,bin
cf1span,bin
f1natwt_rep1,cont
f1natwt_rep2,cont
f1natwt_rep3,cont
f1natwt_rep4,cont
f1natwt_rep5,cont
f1natwt_rep6,cont
f1natwt_rep7,cont
f1natwt_rep8,cont
f1natwt_rep9,cont
f1natwt_rep10,cont
f1natwt_rep11,cont
f1natwt_rep12,cont
f1natwt_rep13,cont
f1natwt_rep14,cont
f1natwt_rep15,cont
f1natwt_rep16,cont
f1natwt_rep17,cont
f1natwt_rep18,cont
f1natwt_rep19,cont
f1natwt_rep20,cont
f1natwt_rep21,cont
f1natwt_rep22,cont
f1natwt_rep23,cont
f1natwt_rep24,cont
f1natwt_rep25,cont
f1natwt_rep26,cont
f1natwt_rep27,cont
f1natwt_rep28,cont
f1natwt_rep29,cont
f1natwt_rep30,cont
f1natwt_rep31,cont
f1natwt_rep32,cont
f1natwt_rep33,cont
f1natwtx_rep1,cont
f1natwtx_rep2,cont
f1natwtx_rep3,cont
f1natwtx_rep4,cont
f1natwtx_rep5,cont
f1natwtx_rep6,cont
f1natwtx_rep7,cont
f1natwtx_rep8,cont
f1natwtx_rep9,cont
f1natwtx_rep10,cont
f1natwtx_rep11,cont
f1natwtx_rep12,cont
f1natwtx_rep13,cont
f1natwtx_rep14,cont
f1natwtx_rep15,cont
f1natwtx_rep16,cont
f1natwtx_rep17,cont
f1natwtx_rep18,cont
f1natwtx_rep19,cont
f1natwtx_rep20,cont
f1natwtx_rep21,cont
f1natwtx_rep22,cont
f1natwtx_rep23,cont
f1natwtx_rep24,cont
f1natwtx_rep25,cont
f1natwtx_rep26,cont
f1natwtx_rep27,cont
f1natwtx_rep28,cont
f1natwtx_rep29,cont
f1natwtx_rep30,cont
f1natwtx_rep31,cont
f1natwtx_rep32,cont
f1natwtx_rep33,cont
f1citywt_rep1,cont
f1citywt_rep2,cont
f1citywt_rep3,cont
f1citywt_rep4,cont
f1citywt_rep5,cont
f1citywt_rep6,cont
f1citywt_rep7,cont
f1citywt_rep8,cont
f1citywt_rep9,cont
f1citywt_rep10,cont
cm1intmon,uc
cm1intyr,cont
cm1lenhr,cont
cm1lenmin,cont
cm1twoc,bin
cm1fint,bin
cm1tdiff,oc
cm1natsm,bin
m1natwt,cont
cm1natsmx,bin
m1natwtx,cont
cm1citsm,bin
m1citywt,cont
cm1innatsm,bin
cm1citysm,bin
m1a3,bin
m1a4,uc
m1a5,bin
m1a6,bin
m1a7,bin
m1a8,oc
m1a9,bin
m1a10,bin
m1a11a,bin
m1a11b,bin
m1a11c,bin
m1a11d,bin
m1a12,bin
m1a12a,cont
m1a13,bin
m1a13a,cont
m1a15,uc
m1a16,uc
cm1age,cont
cm1bsex,uc
cm1lbw,bin
cm1numb,uc
m1b0,bin
m1b1a,cont
m1b1b,cont
m1b2,bin
m1b3,oc
m1b4a,bin
m1b4b,bin
m1b4c,bin
m1b4d,bin
m1b4e,bin
m1b4f,bin
m1b4g,uc
m1b5a,bin
m1b5b,bin
m1b5c,bin
m1b5d,bin
m1b6a,oc
m1b6b,oc
m1b6c,oc
m1b6d,oc
m1b6e,oc
m1b6f,oc
m1b7a,oc
m1b7b,oc
m1b7c,oc
m1b7d,oc
m1b7e,oc
m1b8,bin
m1b9,bin
m1b9a1,bin
